Time,Reading 
20:23:51,4.23
20:23:51,4.23
20:23:52,4.23
20:23:53,4.23
20:23:54,4.23
20:23:55,4.23
20:23:56,4.23
20:23:57,4.23
20:23:58,4.23
20:23:59,4.23
20:24:00,4.23
20:24:01,4.23
20:24:02,4.23
20:24:03,4.23
20:24:04,4.23
20:24:05,4.23
20:24:06,4.23
20:24:07,4.23
20:24:08,4.23
20:24:09,4.24
20:24:10,4.23
20:24:11,4.23
20:24:12,4.23
20:24:13,4.23
20:24:14,4.23
20:24:15,4.23
20:24:16,4.23
20:24:17,4.23
20:24:18,4.23
20:24:19,4.23
20:24:20,4.23
20:24:21,4.23
20:24:22,4.23
20:24:23,4.23
20:24:24,4.23
20:24:25,4.23
20:24:26,4.23
20:24:27,4.23
20:24:28,4.23
20:24:29,4.24
20:24:30,4.23
20:24:31,4.23
20:24:32,4.23
20:24:33,4.23
20:24:34,4.23
20:24:35,4.23
20:24:36,4.23
20:24:37,4.24
20:24:38,4.23
20:24:39,4.23
20:24:40,4.23
20:24:41,4.23
20:24:42,4.23
20:24:43,4.23
20:24:44,4.23
20:24:45,4.23
20:24:46,4.23
20:24:47,4.23
20:24:48,4.23
20:24:49,4.23
20:24:50,4.23
20:24:51,4.23
20:24:52,4.23
20:24:53,4.23
20:24:54,4.23
20:24:55,4.23
20:24:56,4.23
20:24:57,4.24
20:24:58,4.23
20:24:59,4.23
20:25:00,4.23
20:25:01,4.23
20:25:02,4.23
20:25:03,4.23
20:25:04,4.23
20:25:05,4.23
20:25:06,4.23
20:25:07,4.23
20:25:08,4.23
20:25:09,4.23
20:25:10,4.23
20:25:11,4.23
20:25:12,4.23
20:25:13,4.23
20:25:14,4.23
20:25:15,4.23
20:25:16,4.23
20:25:17,4.23
20:25:18,4.23
20:25:19,4.23
20:25:20,4.23
20:25:21,4.23
20:25:22,4.23
20:25:23,4.23
20:25:24,4.23
20:25:25,4.23
20:25:26,4.23
20:25:27,4.23
20:25:28,4.23
20:25:29,4.24
20:25:30,4.24
20:25:31,4.23
20:25:32,4.23
20:25:33,4.23
20:25:34,4.23
20:25:35,4.23
20:25:36,4.23
20:25:37,4.23
20:25:38,4.23
20:25:39,4.24
20:25:40,4.23
20:25:41,4.23
20:25:42,4.23
20:25:43,4.23
20:25:44,4.23
20:25:45,4.23
20:25:46,4.23
20:25:47,4.23
20:25:48,4.23
20:25:49,4.23
20:25:50,4.24
20:25:51,4.23
20:25:52,4.23
20:25:53,4.23
20:25:54,4.23
20:25:55,4.23
20:25:56,4.23
20:25:57,4.23
20:25:58,4.23
20:25:59,4.23
20:26:00,4.23
20:26:01,4.23
20:26:02,4.23
20:26:03,4.23
20:26:04,4.23
20:26:05,4.23
20:26:06,4.23
20:26:07,4.23
20:26:08,4.23
20:26:09,4.23
20:26:10,4.23
20:26:11,4.23
20:26:12,4.23
20:26:13,4.23
20:26:14,4.23
20:26:15,4.22
20:26:16,4.23
20:26:17,4.23
20:26:18,4.23
20:26:19,4.23
20:26:20,4.23
20:26:21,4.23
20:26:22,4.23
20:26:23,4.23
20:26:24,4.23
20:26:25,4.23
20:26:26,4.23
20:26:27,4.23
20:26:28,4.23
20:26:29,4.23
20:26:30,4.23
20:26:31,4.24
20:26:32,4.23
20:26:33,4.23
20:26:34,4.23
20:26:35,4.23
20:26:36,4.23
20:26:37,4.23
20:26:38,4.24
20:26:39,4.23
20:26:40,4.23
20:26:41,4.23
20:26:42,4.23
20:26:43,4.23
20:26:44,4.23
20:26:45,4.23
20:26:46,4.23
20:26:47,4.23
20:26:48,4.23
20:26:49,4.23
20:26:50,4.23
20:26:51,4.23
20:26:52,4.23
20:26:53,4.23
20:26:54,4.23
20:26:55,4.23
20:26:56,4.23
20:26:57,4.23
20:26:58,4.23
20:26:59,4.23
20:27:00,4.23
20:27:01,4.23
20:27:02,4.23
20:27:03,4.23
20:27:04,4.23
20:27:05,4.23
20:27:06,4.23
20:27:07,4.23
20:27:08,4.23
20:27:09,4.23
20:27:10,4.23
20:27:11,4.23
20:27:12,4.23
20:27:13,4.23
20:27:14,4.23
20:27:15,4.23
20:27:16,4.23
20:27:17,4.23
20:27:19,4.24
20:27:19,4.23
20:27:20,4.23
20:27:21,4.23
20:27:23,4.24
20:27:23,4.23
20:27:25,4.24
20:27:26,4.23
20:27:26,4.23
20:27:28,4.23
20:27:29,4.23
20:27:30,4.23
20:27:31,4.23
20:27:32,4.23
20:27:33,4.23
20:27:34,4.23
20:27:35,4.23
20:27:36,4.23
20:27:37,4.23
20:27:38,4.23
20:27:39,4.23
20:27:40,4.23
20:27:41,4.23
20:27:42,4.23
20:27:43,4.23
20:27:44,4.24
20:27:45,4.23
20:27:46,4.23
20:27:47,4.23
20:27:48,4.23
20:27:49,4.23
20:27:50,4.23
20:27:51,4.24
20:27:52,4.23
20:27:53,4.23
20:27:54,4.23
20:27:55,4.23
20:27:56,4.23
20:27:57,4.23
20:27:58,4.23
20:27:59,4.24
20:28:00,4.23
20:28:01,4.23
20:28:02,4.24
20:28:03,4.23
20:28:04,4.23
20:28:05,4.23
20:28:06,4.23
20:28:07,4.23
20:28:08,4.23
20:28:09,4.23
20:28:10,4.23
20:28:11,4.23
20:28:12,4.23
20:28:13,4.23
20:28:14,4.23
20:28:15,4.23
20:28:16,4.23
20:28:17,4.24
20:28:18,4.23
20:28:19,4.23
20:28:20,4.23
20:28:21,4.23
20:28:22,4.23
20:28:23,4.23
20:28:24,4.23
20:28:25,4.23
20:28:26,4.23
20:28:27,4.23
20:28:28,4.23
20:28:29,4.23
20:28:30,4.23
20:28:31,4.23
20:28:32,4.23
20:28:33,4.23
20:28:34,4.23
20:28:35,4.23
20:28:36,4.23
20:28:37,4.23
20:28:38,4.23
20:28:39,4.23
20:28:40,4.23
20:28:41,4.23
20:28:42,4.23
20:28:43,4.23
20:28:44,4.23
20:28:45,4.24
20:28:46,4.23
20:28:47,4.23
20:28:48,4.23
20:28:49,4.23
20:28:50,4.23
20:28:51,4.23
20:28:52,4.23
20:28:53,4.23
20:28:54,4.23
20:28:55,4.23
20:28:56,4.24
20:28:57,4.24
20:28:58,4.24
20:28:59,4.23
20:29:00,4.24
20:29:01,4.23
20:29:02,4.23
20:29:03,4.23
20:29:04,4.23
20:29:05,4.23
20:29:06,4.23
20:29:07,4.23
20:29:08,4.24
20:29:09,4.23
20:29:10,4.23
20:29:11,4.20
20:29:12,4.23
20:29:13,4.23
20:29:14,4.23
20:29:15,4.23
20:29:16,4.23
20:29:17,4.24
20:29:18,4.23
20:29:19,4.23
20:29:20,4.24
20:29:21,4.24
20:29:22,4.22
20:29:23,4.23
20:29:24,4.23
20:29:25,4.23
20:29:26,4.23
20:29:27,4.23
20:29:28,4.23
20:29:29,4.23
20:29:30,4.23
20:29:31,4.23
20:29:32,4.24
20:29:33,4.23
20:29:34,4.23
20:29:35,4.23
20:29:36,4.23
20:29:37,4.23
20:29:38,4.23
20:29:39,4.23
20:29:40,4.23
20:29:41,4.23
20:29:42,4.23
20:29:43,4.24
20:29:44,4.24
20:29:45,4.23
20:29:46,4.23
20:29:47,4.23
20:29:48,4.24
20:29:49,4.23
20:29:50,4.23
20:29:51,4.23
20:29:52,4.23
20:29:53,4.23
20:29:54,4.23
20:29:55,4.23
20:29:56,4.23
20:29:57,4.23
20:29:58,4.23
20:29:59,4.23
20:30:00,4.23
20:30:01,4.23
20:30:02,4.23
20:30:03,4.23
20:30:04,4.24
20:30:05,4.23
20:30:06,4.23
20:30:07,4.24
20:30:08,4.24
20:30:09,4.23
20:30:10,4.24
20:30:11,4.23
20:30:12,4.24
20:30:13,4.24
20:30:14,4.23
20:30:15,4.23
20:30:16,4.23
20:30:17,4.23
20:30:18,4.23
20:30:19,4.23
20:30:20,4.23
20:30:21,4.23
20:30:22,4.23
20:30:23,4.23
20:30:24,4.23
20:30:25,4.23
20:30:26,4.23
20:30:27,4.23
20:30:28,4.23
20:30:29,4.24
20:30:30,4.23
20:30:31,4.24
20:30:32,4.23
20:30:33,4.24
20:30:34,4.23
20:30:35,4.23
20:30:36,4.23
20:30:37,4.24
20:30:38,4.23
20:30:39,4.24
20:30:40,4.23
20:30:41,4.23
20:30:42,4.23
20:30:43,4.23
20:30:44,4.24
20:30:45,4.23
20:30:46,4.23
20:30:47,4.24
20:30:48,4.23
20:30:49,4.23
20:30:50,4.23
20:30:51,4.23
20:30:52,4.23
20:30:53,4.23
20:30:54,4.23
20:30:55,4.23
20:30:56,4.24
20:30:57,4.24
20:30:58,4.24
20:30:59,4.24
20:31:00,4.23
20:31:01,4.23
20:31:02,4.23
20:31:03,4.23
20:31:04,4.23
20:31:05,4.23
20:31:06,4.23
20:31:07,4.23
20:31:08,4.23
20:31:09,4.23
20:31:10,4.23
20:31:11,4.23
20:31:12,4.23
20:31:13,4.23
20:31:14,4.23
20:31:15,4.23
20:31:16,4.23
20:31:17,4.23
20:31:18,4.23
20:31:19,4.23
20:31:20,4.23
20:31:21,4.23
20:31:22,4.24
20:31:23,4.23
20:31:24,4.24
20:31:25,4.24
20:31:26,4.23
20:31:27,4.23
20:31:28,4.23
20:31:29,4.23
20:31:30,4.23
20:31:31,4.24
20:31:32,4.23
20:31:33,4.23
20:31:34,4.23
20:31:35,4.23
20:31:36,4.23
20:31:37,4.24
20:31:38,4.24
20:31:39,4.23
20:31:40,4.23
20:31:41,4.23
20:31:42,4.23
20:31:43,4.23
20:31:44,4.24
20:31:45,4.24
20:31:46,4.24
20:31:47,4.24
20:31:48,4.24
20:31:49,4.24
20:31:50,4.23
20:31:51,4.23
20:31:52,4.24
20:31:53,4.23
20:31:54,4.23
20:31:55,4.23
20:31:56,4.23
20:31:57,4.24
20:31:58,4.23
20:31:59,4.23
20:32:00,4.24
20:32:01,4.24
20:32:02,4.23
20:32:03,4.24
20:32:04,4.23
20:32:05,4.23
20:32:06,4.23
20:32:07,4.23
20:32:08,4.23
20:32:09,4.23
20:32:10,4.23
20:32:11,4.24
20:32:12,4.24
20:32:13,4.24
20:32:14,4.23
20:32:15,4.23
20:32:16,4.23
20:32:17,4.24
20:32:18,4.23
20:32:19,4.23
20:32:20,4.23
20:32:21,4.23
20:32:22,4.23
20:32:23,4.23
20:32:24,4.23
20:32:25,4.23
20:32:26,4.23
20:32:27,4.23
20:32:28,4.24
20:32:29,4.23
20:32:30,4.23
20:32:31,4.24
20:32:32,4.24
20:32:33,4.23
